,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Wind Speed,Time
6,2001,1,1,6,30,0,0,17,18.1319653304696,952.306396484375,1.7240177392959597,06:30:00
7,2001,1,1,7,30,38,15,17,18.50133286814412,953.2615966796876,1.7887830734252932,07:30:00
8,2001,1,1,8,30,120,11,18,19.618021703850214,954.2102661132812,1.929004430770874,08:30:00
9,2001,1,1,9,30,176,9,18,21.0283502844444,954.7578735351562,2.140561580657959,09:30:00
10,2001,1,1,10,30,326,230,18,22.712150014332853,954.8312377929688,2.319425106048584,10:30:00
11,2001,1,1,11,30,343,82,18,24.548529996759502,953.8446655273438,2.3734500408172607,11:30:00
12,2001,1,1,12,30,212,707,17,25.920681932904586,952.9423828125,2.287180185317993,12:30:00
13,2001,1,1,13,30,207,692,16,26.522780416861227,951.8240356445312,2.1292858123779297,13:30:00
14,2001,1,1,14,30,192,645,15,26.279477853148137,951.1144409179688,1.999219536781311,14:30:00
15,2001,1,1,15,30,164,551,14,25.47971140071269,950.9371948242188,1.9255518913269043,15:30:00
16,2001,1,1,16,30,117,379,14,23.81650136894353,951.2090454101562,1.8525744676589968,16:30:00
17,2001,1,1,17,30,27,0,14,21.63140227175836,951.9816284179688,1.9148012399673464,17:30:00
18,2001,1,1,18,30,0,0,13,20.866579092077416,952.6477661132812,2.1804394721984863,18:30:00
30,2001,1,2,6,30,0,0,7,12.477954463739252,955.4395141601562,2.1422557830810547,06:30:00
31,2001,1,2,7,30,43,37,7,15.10256700387464,956.0132446289062,1.8011031150817869,07:30:00
32,2001,1,2,8,30,123,409,8,18.67474791308979,956.8115234375,1.3925081491470337,08:30:00
33,2001,1,2,9,30,170,577,7,23.685634779960022,957.4405517578124,1.162869930267334,09:30:00
34,2001,1,2,10,30,196,669,7,26.56855168434845,957.1895141601562,0.6371551752090454,10:30:00
35,2001,1,2,11,30,211,715,8,28.32108482137585,956.3186645507812,0.35822781920433044,11:30:00
36,2001,1,2,12,30,215,729,9,29.20726648181665,955.0531005859376,0.2988955676555633,12:30:00
37,2001,1,2,13,30,210,713,9,29.343110743239322,954.2836303710938,0.3777211606502533,13:30:00
38,2001,1,2,14,30,195,663,9,28.67477458850073,953.5651245117188,0.5017403364181519,14:30:00
39,2001,1,2,15,30,167,567,8,27.259709526619872,953.040771484375,0.7203354835510254,15:30:00
40,2001,1,2,16,30,119,391,10,24.791860326564912,953.0762939453124,1.2062853574752808,16:30:00
41,2001,1,2,17,30,25,0,12,21.891463103551587,953.4729614257812,1.9466438293457031,17:30:00
42,2001,1,2,18,30,0,0,11,20.820533320161303,953.9751586914062,2.4030873775482178,18:30:00
54,2001,1,3,6,30,0,0,9,13.606565382727124,956.6350708007812,1.936612844467163,06:30:00
55,2001,1,3,7,30,43,52,10,16.259483242999465,957.3712158203124,1.6023786067962646,07:30:00
56,2001,1,3,8,30,122,400,10,19.882948981456988,958.145751953125,1.3493103981018066,08:30:00
57,2001,1,3,9,30,168,569,9,24.737646029854368,958.4813842773438,1.5795331001281738,09:30:00
58,2001,1,3,10,30,195,662,10,27.55556683047513,958.2291870117188,1.2652097940444946,10:30:00
59,2001,1,3,11,30,210,708,10,29.27027188602472,957.3974609375,0.9453175067901612,11:30:00
60,2001,1,3,12,30,214,722,11,30.245462049874106,956.26318359375,0.6745976209640503,12:30:00
61,2001,1,3,13,30,209,707,10,30.421135605074824,955.3225708007812,0.4249085783958435,13:30:00
62,2001,1,3,14,30,194,659,10,29.843987167574767,954.4715576171876,0.3110774457454681,14:30:00
63,2001,1,3,15,30,167,564,10,28.411328077565198,954.051513671875,0.5848752856254578,15:30:00
64,2001,1,3,16,30,147,281,12,25.930064411768456,954.4276123046876,1.0842365026474001,16:30:00
65,2001,1,3,17,30,17,0,13,23.078919148531494,955.001708984375,1.7179690599441528,17:30:00
66,2001,1,3,18,30,0,0,12,22.037957626859967,955.3240966796876,2.1331820487976074,18:30:00
78,2001,1,4,6,30,0,0,7,14.344635969475807,957.734375,1.1152660846710205,06:30:00
79,2001,1,4,7,30,41,34,10,17.25491399979734,958.5755004882812,0.8915780186653137,07:30:00
80,2001,1,4,8,30,136,357,8,20.51416873073299,959.2677612304688,0.6912412047386169,08:30:00
81,2001,1,4,9,30,177,553,8,25.698267939920807,959.23388671875,0.5715867877006531,09:30:00
82,2001,1,4,10,30,196,669,8,29.04206034296345,958.7910766601562,0.09225986152887344,10:30:00
83,2001,1,4,11,30,211,717,8,30.627305379003076,957.9004516601562,0.2720938622951508,11:30:00
84,2001,1,4,12,30,215,732,8,31.411322048546086,956.5921630859376,0.4280364513397217,12:30:00
85,2001,1,4,13,30,211,717,7,31.47713136763173,955.38427734375,0.5605404376983643,13:30:00
